"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"ESPH","2020","Setiembre","Acueducto","Empresarial","26-40","Medido","","385","385","12246","12593444.18","485044.34"
"ESPH","2020","Setiembre","Acueducto","Empresarial","41-60","Medido","","240","240","11917","13277139.47","302365.3"
"ESPH","2020","Setiembre","Acueducto","Empresarial","61-80","Medido","","91","91","6238","7212809.57","114646.84"
"ESPH","2020","Setiembre","Acueducto","Empresarial","81-100","Medido","","63","63","5635","6661331.26","79370.89"
"ESPH","2020","Setiembre","Acueducto","Empresarial","101-120","Medido","","40","40","4466","5354793.38","50394.22"
"ESPH","2020","Setiembre","Acueducto","Empresarial","121 y mas","Medido","","194","194","122709","160363120.9","244411.95"
"ESPH","2020","Setiembre","Acueducto","Empresarial"," ","Fijo","","3","3","","61781.85","3600"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","0-15","Medido","","284","284","880","279836.75","348243.36"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","16-25","Medido","","36","36","740","277718.37","44143.53"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","26-40","Medido","","33","33","1027","449868.58","40464.9"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","41-60","Medido","","23","23","1132","555778.62","28202.81"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","61-80","Medido","","5","5","322","166168.22","6131.05"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","81-100","Medido","","5","5","427","232842.97","6131.05"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","101-120","Medido","","5","5","556","314757.71","6131.05"
"ESPH","2020","Setiembre","Acueducto","Preferencial ","121 y mas","Medido","","30","30","11268","6925365.52","36786.27"
"ESPH","2020","Setiembre","Acueducto","Preferencial "," ","Fijo","","","","","",""
"ESPH","2020","Setiembre","Acueducto","Gobierno","0-15","Medido","","122","122","428","325707.96","162400"
"ESPH","2020","Setiembre","Acueducto","Gobierno","16-25","Medido","","10","10","203","181300.87","13311.48"
"ESPH","2020","Setiembre","Acueducto","Gobierno","26-40","Medido","","18","18","577","594434.87","23960.66"
"ESPH","2020","Setiembre","Acueducto","Gobierno","41-60","Medido","","11","11","551","614621.1","14642.62"
"ESPH","2020","Setiembre","Acueducto","Gobierno","61-80","Medido","","10","10","668","770451.49","13311.48"
"ESPH","2020","Setiembre","Acueducto","Gobierno","81-100","Medido","","2","2","170","200208.98","2662.3"
"ESPH","2020","Setiembre","Acueducto","Gobierno","101-120","Medido","","2","2","223","267360.14","2662.3"
"ESPH","2020","Setiembre","Acueducto","Gobierno","121 y mas","Medido","","28","28","13060","16955277.04","37272.13"
"ESPH","2020","Setiembre","Acueducto","Gobierno"," ","Fijo","","1","1","","20593.95","1200"
"AyA","2020","Setiembre","Acueducto","Domiciliar","0-15","Medido","","368563","432130","3185101","1311202881","864062247.31"
"AyA","2020","Setiembre","Acueducto","Domiciliar","16-25","Medido","","151994","167176","3319848","1690782376","334275496.39"
"AyA","2020","Setiembre","Acueducto","Domiciliar","26-40","Medido","","64610","68865","2136223","1360794567","137698485.78"
"AyA","2020","Setiembre","Acueducto","Domiciliar","41-60","Medido","","13861","14900","712917","540267050","29793181.42"
"AyA","2020","Setiembre","Acueducto","Domiciliar","61-80","Medido","","2588","2690","186189","178913569","5378768.99"
"AyA","2020","Setiembre","Acueducto","Domiciliar","81-100","Medido","","859","903","82925","99422871","1805586.77"
"AyA","2020","Setiembre","Acueducto","Domiciliar","101-120","Medido","","388","402","45927","61738029","803816.04"
"AyA","2020","Setiembre","Acueducto","Domiciliar","121 y mas","Medido","","858","904","23094","-28281339","1807586.31"
